Date,Open,High,Low,Close,Adj Close,Volume
2009-10-01,190.000000,216.100006,178.375000,188.199997,139.114578,16859643
2009-11-01,188.199997,210.000000,180.899994,192.300003,142.145264,13266544
2009-12-01,192.300003,199.500000,181.899994,187.800003,138.818939,27240288
2010-01-01,187.800003,200.000000,185.233002,190.399994,140.740799,20571323
2010-02-01,190.399994,204.199997,177.699997,185.399994,137.044861,35196457
2010-03-01,187.300003,200.100006,137.000000,159.699997,118.047821,67022666
2010-04-01,155.000000,204.500000,155.000000,193.250000,142.847473,37151613
2010-05-01,193.250000,201.250000,171.000000,189.500000,140.075546,23569425
2010-06-01,196.500000,198.000000,175.440002,189.000000,139.705933,10463107
2010-07-01,188.500000,233.000000,183.199997,230.000000,170.012543,8634143
2010-08-01,230.000000,233.000000,209.000000,217.500000,160.772720,6212824
2010-09-01,224.750000,274.750000,216.000000,272.750000,201.612686,14023756
2010-10-01,267.750000,304.500000,250.350006,304.500000,225.081818,9044478
2010-11-01,305.750000,393.750000,303.863007,383.500000,283.477417,17160778
2010-12-01,382.500000,423.750000,375.000000,395.250000,292.162842,11296091
2011-01-01,395.250000,434.500000,360.500000,403.000000,297.891510,11106990
2011-02-01,407.750000,425.000000,381.500000,407.000000,300.848297,5631066
2011-03-01,407.750000,412.500000,358.250000,364.000000,269.063293,11037170
2011-04-01,374.750000,410.750000,361.000000,397.750000,294.010803,6569424
2011-05-01,397.750000,415.250000,352.000000,390.250000,288.466858,6358019
2011-06-01,392.000000,428.000000,380.000000,423.000000,312.675232,6035581
2011-07-01,432.500000,450.238007,395.000000,412.750000,305.098541,6512882
2011-08-01,416.500000,428.750000,320.000000,355.000000,265.494232,6968880
2011-09-01,367.750000,386.000000,310.250000,340.000000,254.276123,6524715
2011-10-01,331.250000,366.000000,300.250000,351.000000,262.502716,9077030
2011-11-01,346.500000,383.250000,292.500000,331.000000,247.545273,19224757
2011-12-01,330.000000,343.000000,285.250000,309.000000,232.403030,9932175
2012-01-01,309.000000,354.000000,153.750000,166.000000,124.850815,16344377
2012-02-01,160.000000,180.660004,160.000000,170.500000,128.235352,12874472
2012-03-01,169.000000,179.750000,149.250000,150.000000,112.817001,18304017
2012-04-01,150.250000,153.750000,120.250000,131.000000,98.526855,19573293
2012-05-01,129.750000,139.000000,126.879997,130.250000,97.962769,10508494
2012-06-01,129.750000,145.750000,126.250000,144.000000,108.304298,12253415
2012-07-01,140.000000,145.000000,121.730003,126.750000,95.330383,7721805
2012-08-01,126.750000,161.380005,125.000000,145.000000,111.570145,7210873
2012-09-01,147.250000,170.250000,144.910004,163.500000,125.804962,6189419
2012-10-01,161.750000,175.500000,155.339996,169.750000,130.614029,5137603
2012-11-01,172.250000,205.613007,165.054993,198.500000,152.735703,7133770
2012-12-01,201.500000,211.250000,184.608994,206.500000,160.358582,4608396
2013-01-01,206.500000,235.500000,204.826004,220.250000,171.036240,13282713
2013-02-01,217.000000,220.750000,198.000000,210.000000,163.076553,6281288
2013-03-01,210.000000,210.000000,192.500000,201.500000,156.475830,6341592
2013-04-01,201.500000,250.757004,187.500000,235.000000,182.490417,7277385
